time,neutral,postive,negtive
2020-01-20,1,10,3
2020-01-21,8,23,12
2020-01-22,16,31,20
2020-01-23,25,47,48
2020-01-24,9,44,37
2020-01-25,13,32,21
2020-01-26,11,50,37
2020-01-27,11,59,39
2020-01-28,15,48,37
2020-01-29,17,40,23
2020-01-30,20,43,44
2020-01-31,12,59,43
2020-02-01,12,29,20
2020-02-02,15,37,22
2020-02-03,5,27,21
2020-02-04,8,42,24
2020-02-05,14,33,26
2020-02-06,4,20,14
2020-02-07,12,19,25
2020-02-08,11,27,24
2020-02-09,11,26,12
2020-02-10,2,15,17
2020-02-11,11,21,17
2020-02-12,7,11,10
2020-02-13,7,29,22
2020-02-14,12,20,14
2020-02-15,2,10,4
2020-02-16,7,13,17
2020-02-17,4,10,4
2020-02-18,5,5,5
2020-02-19,5,23,26
2020-02-20,13,16,23
2020-02-21,3,33,23
2020-02-22,13,41,41
2020-02-23,5,22,21
2020-02-24,11,34,29
2020-02-25,9,37,20
2020-02-26,8,16,15
2020-02-27,9,31,18
2020-02-28,21,42,39
2020-02-29,14,38,34
2020-03-01,16,41,26
2020-03-02,5,20,21
2020-03-03,7,21,30
2020-03-04,4,24,23
2020-03-05,10,27,29
2020-03-06,10,27,25
2020-03-07,12,26,22
2020-03-08,9,25,22
2020-03-09,12,42,38
2020-03-10,15,57,40
2020-03-11,17,58,55
2020-03-12,15,46,42
2020-03-13,18,59,30
2020-03-14,17,41,33
2020-03-15,26,70,39
2020-03-16,19,71,37
2020-03-17,25,74,39
2020-03-18,19,44,44
2020-03-19,14,52,40
2020-03-20,12,55,54
2020-03-21,20,56,48
2020-03-22,25,74,59
2020-03-23,21,33,36
2020-03-24,11,30,33
2020-03-25,15,63,49
2020-03-26,19,37,34
2020-03-27,27,80,56
2020-03-28,9,49,42
2020-03-29,19,51,45
2020-03-30,23,64,52
2020-03-31,14,39,34
2020-04-01,15,50,43
2020-04-02,18,51,47
2020-04-03,16,73,62
2020-04-04,21,70,46
2020-04-05,20,51,50
2020-04-06,12,52,50
2020-04-07,11,39,27
2020-04-08,15,58,42
2020-04-09,18,43,48
2020-04-10,12,33,42
2020-04-11,17,45,15
2020-04-12,10,27,24
2020-04-13,12,37,28
2020-04-14,8,31,40
2020-04-15,9,46,36
2020-04-16,6,18,14
2020-04-17,8,40,40
2020-04-18,6,15,14
